eventID,occurrenceID,measurementID,measurementMethod,measurementType,measurementTypeID,measurementUnit,measurementUnitID,measurementValue,measurementValueID
RICE004_FB_2016-11-12_MQ3,RICE004_FB_2016-11-12_MQ3_2672,RICE004_FB_2016-11-12_MQ3_2672_length,In the field,Length,NA,mm,NA,19,NA
RICE004_FB_2016-11-12_MQ3,RICE004_FB_2016-11-12_MQ3_2673,RICE004_FB_2016-11-12_MQ3_2673_length,In the field,Length,NA,mm,NA,4,NA
RICE004_FB_2016-11-12_MQ3,RICE004_FB_2016-11-12_MQ3_2674,RICE004_FB_2016-11-12_MQ3_2674_length,In the field,Length,NA,mm,NA,15,NA
RICE004_FB_2016-11-12_MQ4,RICE004_FB_2016-11-12_MQ4_2675,RICE004_FB_2016-11-12_MQ4_2675_length,In the field,Length,NA,mm,NA,7,NA
RICE004_FB_2016-11-12_MQ5,RICE004_FB_2016-11-12_MQ5_2676,RICE004_FB_2016-11-12_MQ5_2676_length,In the field,Length,NA,mm,NA,10,NA
RICE004_FB_2016-11-12_MQ5,RICE004_FB_2016-11-12_MQ5_2677,RICE004_FB_2016-11-12_MQ5_2677_length,In the field,Length,NA,mm,NA,12,NA
RICE004_WB_2016-11-13_FQ2,RICE004_WB_2016-11-13_FQ2_2678,RICE004_WB_2016-11-13_FQ2_2678_length,In the field,Length,NA,mm,NA,6,NA
RICE004_WB_2016-11-13_FQ2,RICE004_WB_2016-11-13_FQ2_2679,RICE004_WB_2016-11-13_FQ2_2679_length,In the field,Length,NA,mm,NA,11,NA
RICE004_WB_2016-11-13_FQ2,RICE004_WB_2016-11-13_FQ2_2680,RICE004_WB_2016-11-13_FQ2_2680_length,In the field,Length,NA,mm,NA,12,NA
RICE004_WB_2016-11-13_FQ3,RICE004_WB_2016-11-13_FQ3_2681,RICE004_WB_2016-11-13_FQ3_2681_length,In the field,Length,NA,mm,NA,22,NA
RICE004_WB_2016-11-13_FQ3,RICE004_WB_2016-11-13_FQ3_2682,RICE004_WB_2016-11-13_FQ3_2682_length,In the field,Length,NA,mm,NA,15,NA
RICE004_WB_2016-11-13_FQ3,RICE004_WB_2016-11-13_FQ3_2683,RICE004_WB_2016-11-13_FQ3_2683_length,In the field,Length,NA,mm,NA,45,NA
RICE004_WB_2016-11-13_FQ3,RICE004_WB_2016-11-13_FQ3_2684,RICE004_WB_2016-11-13_FQ3_2684_length,In the field,Length,NA,mm,NA,12,NA
RICE004_WB_2016-11-13_FQ3,RICE004_WB_2016-11-13_FQ3_2685,RICE004_WB_2016-11-13_FQ3_2685_length,In the field,Length,NA,mm,NA,8,NA
RICE004_WB_2016-11-13_FQ3,RICE004_WB_2016-11-13_FQ3_2686,RICE004_WB_2016-11-13_FQ3_2686_length,In the field,Length,NA,mm,NA,5,NA
RICE004_WB_2016-11-13_FQ4,RICE004_WB_2016-11-13_FQ4_2687,RICE004_WB_2016-11-13_FQ4_2687_length,In the field,Length,NA,mm,NA,13,NA
RICE004_WB_2016-11-13_FQ4,RICE004_WB_2016-11-13_FQ4_2688,RICE004_WB_2016-11-13_FQ4_2688_length,In the field,Length,NA,mm,NA,7,NA
RICE004_WB_2016-11-13_FQ5,RICE004_WB_2016-11-13_FQ5_2689,RICE004_WB_2016-11-13_FQ5_2689_length,In the field,Length,NA,mm,NA,5,NA
RICE004_WB_2016-11-13_FQ5,RICE004_WB_2016-11-13_FQ5_2690,RICE004_WB_2016-11-13_FQ5_2690_length,In the field,Length,NA,mm,NA,3,NA
RICE004_WB_2016-11-13_MQ1,RICE004_WB_2016-11-13_MQ1_2691,RICE004_WB_2016-11-13_MQ1_2691_length,In the field,Length,NA,mm,NA,13,NA
RICE004_WB_2016-11-13_MQ1,RICE004_WB_2016-11-13_MQ1_2692,RICE004_WB_2016-11-13_MQ1_2692_length,In the field,Length,NA,mm,NA,18,NA
RICE004_WB_2016-11-13_MQ1,RICE004_WB_2016-11-13_MQ1_2693,RICE004_WB_2016-11-13_MQ1_2693_length,In the field,Length,NA,mm,NA,9,NA
RICE004_WB_2016-11-13_MQ1,RICE004_WB_2016-11-13_MQ1_2694,RICE004_WB_2016-11-13_MQ1_2694_length,In the field,Length,NA,mm,NA,17,NA
RICE004_WB_2016-11-13_MQ1,RICE004_WB_2016-11-13_MQ1_2695,RICE004_WB_2016-11-13_MQ1_2695_length,In the field,Length,NA,mm,NA,10,NA
RICE004_WB_2016-11-13_MQ1,RICE004_WB_2016-11-13_MQ1_2696,RICE004_WB_2016-11-13_MQ1_2696_length,In the field,Length,NA,mm,NA,12,NA
RICE004_WB_2016-11-13_MQ2,RICE004_WB_2016-11-13_MQ2_2697,RICE004_WB_2016-11-13_MQ2_2697_length,In the field,Length,NA,mm,NA,13,NA
RICE004_WB_2016-11-13_MQ2,RICE004_WB_2016-11-13_MQ2_2698,RICE004_WB_2016-11-13_MQ2_2698_length,In the field,Length,NA,mm,NA,18,NA
RICE004_WB_2016-11-13_MQ2,RICE004_WB_2016-11-13_MQ2_2699,RICE004_WB_2016-11-13_MQ2_2699_length,In the field,Length,NA,mm,NA,22,NA
RICE004_WB_2016-11-13_MQ2,RICE004_WB_2016-11-13_MQ2_2700,RICE004_WB_2016-11-13_MQ2_2700_length,In the field,Length,NA,mm,NA,20,NA
RICE004_WB_2016-11-13_MQ2,RICE004_WB_2016-11-13_MQ2_2701,RICE004_WB_2016-11-13_MQ2_2701_length,In the field,Length,NA,mm,NA,17,NA
RICE004_WB_2016-11-13_MQ2,RICE004_WB_2016-11-13_MQ2_2702,RICE004_WB_2016-11-13_MQ2_2702_length,In the field,Length,NA,mm,NA,15,NA
RICE004_WB_2016-11-13_MQ2,RICE004_WB_2016-11-13_MQ2_2703,RICE004_WB_2016-11-13_MQ2_2703_length,In the field,Length,NA,mm,NA,19,NA
RICE004_WB_2016-11-13_MQ3,RICE004_WB_2016-11-13_MQ3_2704,RICE004_WB_2016-11-13_MQ3_2704_length,In the field,Length,NA,mm,NA,17,NA
RICE004_WB_2016-11-13_MQ3,RICE004_WB_2016-11-13_MQ3_2705,RICE004_WB_2016-11-13_MQ3_2705_length,In the field,Length,NA,mm,NA,12,NA
RICE004_WB_2016-11-13_MQ3,RICE004_WB_2016-11-13_MQ3_2706,RICE004_WB_2016-11-13_MQ3_2706_length,In the field,Length,NA,mm,NA,15,NA
RICE004_WB_2016-11-13_MQ3,RICE004_WB_2016-11-13_MQ3_2707,RICE004_WB_2016-11-13_MQ3_2707_length,In the field,Length,NA,mm,NA,20,NA
RICE004_WB_2016-11-13_MQ3,RICE004_WB_2016-11-13_MQ3_2708,RICE004_WB_2016-11-13_MQ3_2708_length,In the field,Length,NA,mm,NA,19,NA
RICE004_WB_2016-11-13_MQ3,RICE004_WB_2016-11-13_MQ3_2709,RICE004_WB_2016-11-13_MQ3_2709_length,In the field,Length,NA,mm,NA,10,NA
